code,alpha001
sh.601222,-0.11826298628022242
sh.601225,0.21719401775273278
sh.601226,-0.06113083782811544
sh.601228,0.09983838420568579
sh.601229,0.29696163924206653
sh.601231,-0.2621934464646895
sh.601233,0.23109458470534433
sh.601236,-0.08646420467365318
sh.601238,-0.4845650011505742
sh.601279,0.1314987099232787
sh.601288,0.12431795572213969
sh.601298,-0.051038519679458966
sh.601311,-0.5547697270866936
sh.601319,-0.18469032620732978
sh.601326,0.12896729333295412
sh.601328,0.24641062427088423
sh.601330,-0.2538981534149339
