,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
3929,2025-04-11,000985,中证全指,CSI All Share,603303,得邦照明,"Hengdian Group Tospo Lighting Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3930,2025-04-11,000985,中证全指,CSI All Share,603305,旭升集团,"Ningbo Xusheng Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3931,2025-04-11,000985,中证全指,CSI All Share,603306,华懋科技,"HMT (Xiamen) New Technical Materials Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
3932,2025-04-11,000985,中证全指,CSI All Share,603307,扬州金泉,"Yangzhou Jinquan Travelling Goods Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3933,2025-04-11,000985,中证全指,CSI All Share,603308,应流股份,"ANHUI YINGLIU ELECTROMECHANICAL CO., LTD",上海证券交易所,Shanghai Stock Exchange
3934,2025-04-11,000985,中证全指,CSI All Share,603309,维力医疗,"WELL LEAD MEDICAL CO., LTD.",上海证券交易所,Shanghai Stock Exchange
3935,2025-04-11,000985,中证全指,CSI All Share,603311,金海高科,"Zhejiang Goldensea Hi-Tech Co., Ltd",上海证券交易所,Shanghai Stock Exchange
3936,2025-04-11,000985,中证全指,CSI All Share,603312,西典新能,"Suzhou West Deane New Power Electric Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3937,2025-04-11,000985,中证全指,CSI All Share,603313,梦百合,"Healthcare Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3938,2025-04-11,000985,中证全指,CSI All Share,603315,福鞍股份,"Liaoning Fu-An Heavy Industry Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3939,2025-04-11,000985,中证全指,CSI All Share,603316,诚邦股份,"Zhejiang Chengbang Landscape Co., Ltd",上海证券交易所,Shanghai Stock Exchange
3940,2025-04-11,000985,中证全指,CSI All Share,603317,天味食品,"Sichuan Teway Food Group Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
3941,2025-04-11,000985,中证全指,CSI All Share,603318,水发燃气,"Shuifa Energas Gas Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3942,2025-04-11,000985,中证全指,CSI All Share,603319,美湖股份,"Hunan Meihu Intelligent Manufacturing Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3943,2025-04-11,000985,中证全指,CSI All Share,603320,迪贝电气,"ZHEJIANG DIBAY ELECTRIC CO.,LTD.",上海证券交易所,Shanghai Stock Exchange
3944,2025-04-11,000985,中证全指,CSI All Share,603321,梅轮电梯,"Zhejiang Meilun Elevator Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3945,2025-04-11,000985,中证全指,CSI All Share,603322,超讯通信,"GuangDong Super Telecom Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3946,2025-04-11,000985,中证全指,CSI All Share,603323,苏农银行,"Jiangsu Suzhou Rural Commercial Bank Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3947,2025-04-11,000985,中证全指,CSI All Share,603324,盛剑科技,"Shanghai Shengjian Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3948,2025-04-11,000985,中证全指,CSI All Share,603325,博隆技术,Shanghai Bloom Technology Inc.,上海证券交易所,Shanghai Stock Exchange
3949,2025-04-11,000985,中证全指,CSI All Share,603326,我乐家居,"Nanjing OLO Home Furnishing Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3950,2025-04-11,000985,中证全指,CSI All Share,603327,福蓉科技,"SichuanFurong Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3951,2025-04-11,000985,中证全指,CSI All Share,603328,依顿电子,"Guangdong Ellington Electronics Technology Co., Ltd",上海证券交易所,Shanghai Stock Exchange
3952,2025-04-11,000985,中证全指,CSI All Share,603329,上海雅仕,"SHANGHAI ACE INVESTMENT&DEVELOPMENT CO.,LTD",上海证券交易所,Shanghai Stock Exchange
3953,2025-04-11,000985,中证全指,CSI All Share,603330,天洋新材,"Shanghai Tianyang Hot Melt Adhesives Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3954,2025-04-11,000985,中证全指,CSI All Share,603331,百达精工,Zhejiang Baida Precision Manufacturing Corp.,上海证券交易所,Shanghai Stock Exchange
3955,2025-04-11,000985,中证全指,CSI All Share,603332,苏州龙杰,"Suzhou Longjie Special Fiber Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3956,2025-04-11,000985,中证全指,CSI All Share,603333,尚纬股份,"Sunway Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3957,2025-04-11,000985,中证全指,CSI All Share,603335,迪生力,Guangdong Dcenti Auto-Parts Stock Limited Company,上海证券交易所,Shanghai Stock Exchange
3958,2025-04-11,000985,中证全指,CSI All Share,603336,宏辉果蔬,"GREAT-SUN FOODS CO.,LTD.",上海证券交易所,Shanghai Stock Exchange
