,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
781,159537,信创ETF,0.801,0.8031,0.26,0.022,2.82,34366.0,2694915.97,0.771,0.801,0.767,0.779,4.36,9.64,1.42,-2.78,17341.0,17025.0,299491.0,11.11,0.0,0.0,299491.0,11.11,-207948.0,-7.72,-91543.0,-3.4,-75.0,0.801,0.802,35642602.0,28549724,28549724,2024-09-26,2024-09-26 15:00:06+08:00
782,560150,红利低波ETF泰康,1.056,1.0583,0.22,0.029,2.82,118254.0,12292831.0,1.026,1.056,1.025,1.027,3.02,2.21,1.19,1.48,64092.0,54162.0,160504.0,1.31,0.0,0.0,160504.0,1.31,-86340.0,-0.7,-74163.0,-0.6,1.0,1.057,1.059,534279296.0,564198937,564198937,2024-09-26,2024-09-26 15:00:42+08:00
783,512390,平安MSCI低波ETF,1.021,1.0214,0.04,0.028,2.82,30631.0,3106039.0,0.976,1.024,0.976,0.993,4.83,1.7,3.05,0.42,15972.0,14659.0,-50956.0,-1.64,0.0,0.0,-50956.0,-1.64,62639.0,2.02,-11683.0,-0.38,-4200.0,1.021,1.024,180682000.0,184476322,184476322,2024-09-26,2024-09-26 15:00:42+08:00
784,159640,碳中和龙头ETF,0.695,0.6964,0.2,0.019,2.81,113034.0,7711477.083,0.676,0.695,0.673,0.676,3.25,3.42,0.76,53.26,78849.0,34185.0,1706367.0,22.13,-84067.0,-1.09,1790434.0,23.22,-1458013.0,-18.91,-248354.0,-3.22,389.0,0.693,0.695,330845200.0,229937414,229937414,2024-09-26,2024-09-26 15:00:06+08:00
785,512580,环保ETF,0.879,0.8783,-0.08,0.024,2.81,110655.0,9544053.0,0.852,0.879,0.848,0.855,3.63,0.77,1.82,14.56,47633.0,63022.0,2345840.0,24.58,2460295.0,25.78,-114455.0,-1.2,306763.0,3.21,-2652603.0,-27.79,200.0,0.877,0.879,1437271696.0,1263361821,1263361821,2024-09-26,2024-09-26 15:00:40+08:00
786,159525,红利低波ETF,0.991,0.9918,0.08,0.027,2.8,57233.0,5598119.243,0.956,0.991,0.956,0.964,3.63,2.92,1.27,41.18,34419.0,22814.0,1465668.0,26.18,3294633.0,58.85,-1828965.0,-32.67,-1072071.0,-19.15,-393597.0,-7.03,-579.0,0.991,0.992,195743741.0,193982047,193982047,2024-09-26,2024-09-26 15:00:06+08:00
787,159923,中证A100ETF基金,1.58,1.6028,1.42,0.043,2.8,3832.0,594458.882,1.537,1.589,1.52,1.537,4.49,2.88,1.63,-69.17,2056.0,1776.0,0.0,0.0,0.0,0.0,0.0,0.0,61481.0,10.34,-61481.0,-10.34,-1.0,1.58,1.589,13285812.0,20991583,20991583,2024-09-26,2024-09-26 15:00:06+08:00
788,561190,双碳ETF,0.699,0.7008,0.26,0.019,2.79,130301.0,8994334.0,0.685,0.7,0.678,0.68,3.24,1.16,0.77,43.9,97961.0,32340.0,1488228.0,16.55,-67888.0,-0.75,1556116.0,17.3,-1052237.0,-11.7,-435991.0,-4.85,-50.0,0.699,0.7,1119318000.0,782403282,782403282,2024-09-26,2024-09-26 15:00:41+08:00
789,159886,机械ETF,0.7,0.7008,0.11,0.019,2.79,110872.0,7550577.7,0.687,0.7,0.675,0.681,3.67,14.54,0.91,-1.1,57166.0,53706.0,-230342.0,-3.05,0.0,0.0,-230342.0,-3.05,272464.0,3.61,-42122.0,-0.56,38.0,0.699,0.7,76242555.0,53369789,53369789,2024-09-26,2024-09-26 15:00:06+08:00
790,159639,碳中和ETF南方,0.7,0.7009,0.13,0.019,2.79,175982.0,12075429.976,0.685,0.7,0.678,0.681,3.23,1.46,0.87,-94.47,92424.0,83557.0,2626508.0,21.75,440877.0,3.65,2185631.0,18.1,-1713125.0,-14.19,-913385.0,-7.56,571.0,0.699,0.7,1201290176.0,840903123,840903123,2024-09-26,2024-09-26 15:00:06+08:00
