code,close,adjfactor,tradestatus,rn
sz.002666,4.47,4.7968162949008475,1,1
sz.002668,10.19,4.940286507599688,1,1
sz.002669,9.84,2.1658684689818055,1,1
sz.002670,12.07,2.333192407018099,1,1
sz.002673,7.51,2.6455025253999422,1,1
sz.002674,9.23,1.4072874212348483,1,1
sz.002675,14.95,5.277923458441829,1,1
sz.002676,5.79,4.691527249578012,1,1
sz.002677,7.13,4.84112878455326,1,1
sz.002681,7.14,10.623303898387071,1,1
sz.002683,30.55,2.874784302311491,1,1
sz.002685,6.97,2.8954112294065593,1,1
sz.002686,5.75,4.73922038487047,1,1
sz.002687,4.32,6.895252690916467,1,1
sz.002688,6.09,6.115853273061481,1,1
sz.002690,16.8,5.543494797412279,1,1
sz.002692,4.76,4.197044790979617,1,1
sz.002695,10.17,4.3416027549922545,1,1
sz.002696,5.24,3.631650799799266,1,1
sz.002697,5.7,8.17467766543377,1,1
sz.002698,16.65,2.894425307192339,1,1
sz.002700,8.93,6.105828333452881,1,1
sz.002701,5.34,10.03410411929573,1,1
sz.002703,11.59,2.5510565631214894,1,1
sz.002705,13.82,2.101711150805653,1,1
sz.002706,8.36,12.52385838647284,1,1
sz.002707,7.92,12.15457201945485,1,1
sz.002708,12.09,3.139955001940859,1,1
sz.002709,17.48,14.429051111614692,1,1
sz.002714,39.67,19.25284661490743,1,1
sz.002716,3.51,3.8161203259368297,1,1
sz.002718,13.77,2.704691380037855,1,1
sz.002722,14.02,1.0937206650572886,1,1
sz.002724,5.96,1.9972628783520985,1,1
sz.002725,11.49,2.7027678935624833,1,1
sz.002726,6.23,4.650177192268303,1,1
sz.002727,14.19,2.249821183586904,1,1
sz.002728,7.93,5.157095837103432,1,1
sz.002729,12.45,2.797279495493295,1,1
sz.002730,15.8,2.3816689150989516,1,1
sz.002731,10.29,1.7454768181629814,1,1
sz.002732,15.98,1.1126799737931277,1,1
sz.002733,14.31,2.4230805002017024,1,1
sz.002734,13.31,3.579044676780658,1,1
sz.002735,9.44,3.445771103840683,1,1
sz.002736,10.87,1.2620200981028784,1,1
sz.002737,15.69,5.551930076867364,1,1
sz.002738,29.14,3.1422128713853765,1,1
sz.002739,11.25,3.04011961861257,1,1
sz.002741,15.27,3.06368078078617,1,1
sz.002743,6.77,2.162182969097266,1,1
sz.002745,7.9,2.357399907743146,1,1
sz.002746,5.94,4.501075917536169,1,1
sz.002747,20.0,6.2128192184648965,1,1
sz.002749,14.64,7.55733595545146,1,1
sz.002752,5.4,2.0676978564217197,1,1
sz.002753,6.4,3.7709046847409518,1,1
sz.002755,18.79,1.7921278009225639,1,1
sz.002756,30.67,3.118276588267204,1,1
sz.002757,18.58,2.7473336892451976,1,1
