code,date,open,close,high,low,volume,amount,adjfactor,tradestatus,rn,daily_return,cumulative_return,ma20,ma60,volatility,rolling_max,drawdown
sz.399101,2010-07-20,5427.42,5586.826,5586.826,5427.42,2082505449,37259582898.08,1.0,1,3512,0.03047265436590396,-0.04387365253351416,5385.125999999999,5667.242499999999,0.319652361923041,6593.443,-0.15266940201045193
sz.399101,2010-07-21,5590.52,5593.081,5662.667,5569.807,1979398210,35681285183.07,1.0,1,3511,0.0011195981403393507,-0.04280317525296118,5376.79875,5650.999766666667,0.3196402375214806,6593.443,-0.15172073224869012
sz.399101,2010-07-22,5577.667,5672.463,5672.463,5566.869,1781169206,31673322173.16,1.0,1,3510,0.014192892969009385,-0.02921778316905077,5372.278700000001,5636.99745,0.3243056631354417,6593.443,-0.13968119539366616
sz.399101,2010-07-23,5676.526,5693.218,5694.823,5621.262,1736455702,32016044078.37,1.0,1,3509,0.003658904430051013,-0.02566578381527329,5374.09895,5623.017716666667,0.31762086860791106,6593.443,-0.1365333711082359
sz.399101,2010-07-26,5701.997,5771.595,5771.595,5673.217,1711605843,31425221740.6,1.0,1,3508,0.013766730871714428,-0.01225238688195529,5383.7699999999995,5613.4628999999995,0.3161482762310958,6593.443,-0.12464625841157646
sz.399101,2010-07-27,5758.099,5774.961,5799.796,5726.077,1595486849,29551241056.88,1.0,1,3507,0.0005832010042283731,-0.011676331482060709,5408.19345,5604.482233333333,0.24326285268028877,6593.443,-0.12413575123042694
sz.399101,2010-07-28,5762.744,5902.617,5903.245,5753.483,2117100045,37801484075.61,1.0,1,3506,0.022105084346024206,0.010170646571700415,5441.7291,5600.9978,0.24421455148526575,6593.443,-0.10477469813570846
sz.399101,2010-07-29,5914.699,5912.112,5932.167,5848.931,2128828103,37438278873.7,1.0,1,3505,0.001608608520593524,0.011795615681029048,5479.3874000000005,5600.542316666667,0.2332243754957432,6593.443,-0.1033346310872787
sz.399101,2010-07-30,5904.41,5911.666,5927.33,5844.854,1749871671,31695263432.12,1.0,1,3504,-7.543835434775659e-05,0.011719287484845742,5520.38785,5599.937449999999,0.2227980099455591,6593.443,-0.10340227404711014
sz.399101,2010-08-02,5914.122,6031.664,6034.546,5914.122,2048032481,37422355098.93,1.0,1,3503,0.020298508068622212,0.0322556796050375,5568.299550000001,5598.190383333334,0.22304703326917735,6593.443,-0.08520267787254708
sz.399101,2010-08-03,6041.283,5934.109,6055.706,5934.109,2192712770,41275812004.59,1.0,1,3502,-0.016173812069107174,0.015560170235837223,5603.9401,5597.616633333333,0.22615723530191736,6593.443,-0.09999843784195903
sz.399101,2010-08-04,5908.656,5984.314,5984.314,5844.456,1873353948,35574033190.68,1.0,1,3501,0.008460410821574005,0.02415222649005999,5638.66275,5599.899333333334,0.2249493524974865,6593.443,-0.09238405488604359
sz.399101,2010-08-05,5984.353,6027.349,6077.811,5972.001,2004458385,37729624671.01,1.0,1,3500,0.00719130045649341,0.03151721286393672,5675.91255,5605.4072,0.22310866641856783,6593.443,-0.08585711592562491
sz.399101,2010-08-06,6022.223,6151.27,6151.27,5983.999,2154572340,40296586104.42,1.0,1,3499,0.020559785073006376,0.05272498505952572,5712.365400000001,5615.412583333334,0.2170630981434991,6593.443,-0.06706253470303751
sz.399101,2010-08-09,6156.057,6244.345,6250.299,6155.923,2232536934,44357166171.15,1.0,1,3498,0.015131021723969074,0.06865378967782632,5751.042950000001,5629.318766666666,0.21911787748685688,6593.443,-0.05294623764852444
sz.399101,2010-08-10,6244.99,6032.297,6255.911,6032.297,2394531860,48063799876.26,1.0,1,3497,-0.033958405565355676,0.03236401087899243,5782.519,5636.825683333333,0.25453818627598546,6593.443,-0.0851066734026518
sz.399101,2010-08-11,6006.295,6101.151,6112.929,6001.641,1649575954,33534264362.37,1.0,1,3496,0.011414225791601451,0.04414764679828864,5816.75115,5644.681866666667,0.25504975425592025,6593.443,-0.07466387439764026
sz.399101,2010-08-12,6037.767,6053.701,6140.799,6010.851,1858107241,36419437824.89,1.0,1,3495,-0.007777221052224337,0.036027079737978474,5854.9371,5656.917816666667,0.2365086467848526,6593.443,-0.08186041799405867
sz.399101,2010-08-13,6049.256,6171.703,6171.703,6024.218,1655866604,32699180601.9,1.0,1,3494,0.01949253853138777,0.05622187750933216,5898.60285,5669.98835,0.23972171501569037,6593.443,-0.06396354681461563
sz.399101,2010-08-16,6173.874,6318.653,6330.296,6162.104,2127892614,41672968277.09,1.0,1,3493,0.02381028380659278,0.08137082017556163,5943.45475,5684.682666666666,0.2402030844292384,6593.443,-0.04167625321095518
sz.399101,2010-08-17,6340.984,6390.609,6409.895,6326.048,2177941010,43078140631.89,1.0,1,3492,0.011387870167898217,0.09368533067907459,5983.643900000001,5701.6743333333325,0.22540138134127047,6593.443,-0.03076298680370784
sz.399101,2010-08-18,6392.625,6400.191,6426.316,6326.007,2187786464,44230465338.16,1.0,1,3491,0.0014993876170485976,0.09532518892084241,6023.9994,5716.534350000001,0.22527754526397997,6593.443,-0.029309724828136135
sz.399101,2010-08-19,6400.481,6415.241,6460.072,6364.435,2272902990,45621932971.98,1.0,1,3490,0.002351492322651083,0.09790083769339608,6061.1383000000005,5727.8158,0.2240826283180785,6593.443,-0.027027154098397486
sz.399101,2010-08-20,6386.955,6256.18,6386.955,6238.0,2046046520,41315106756.84,1.0,1,3489,-0.024794236101184586,0.07067922510793778,6089.2864,5737.29715,0.24976392339682385,6593.443,-0.051151272559723335
sz.399101,2010-08-23,6246.322,6297.741,6323.283,6246.322,1744803193,33556266215.66,1.0,1,3488,0.006643191212529098,0.07779195192761224,6115.593699999999,5747.613266666666,0.2476597752156718,6593.443,-0.04484788903157276
sz.399101,2010-08-24,6293.312,6385.996,6415.64,6252.291,1890545548,36577635243.34,1.0,1,3487,0.014013755090912738,0.0928958643808826,6146.14545,5757.498016666667,0.2494334638977982,6593.443,-0.031462621273892884
sz.399101,2010-08-25,6360.675,6268.751,6388.079,6263.934,1803786036,35533817792.71,1.0,1,3486,-0.018359704578580938,0.07283061917569666,6164.45215,5764.953566666667,0.25428156101034083,6593.443,-0.04924468142061742
sz.399101,2010-08-26,6276.81,6327.833,6355.649,6267.917,1678005999,32983780237.32,1.0,1,3485,0.009424843960144536,0.08294188035709293,6185.2382,5775.918866666666,0.25517086584429005,6593.443,-0.04028396089872933
sz.399101,2010-08-27,6321.52,6408.513,6412.102,6302.468,1506052788,32793727905.61,1.0,1,3484,0.01275002042563389,0.09674941145142024,6210.080550000001,5789.9164,0.25682520322591923,6593.443,-0.02804756179737965
sz.399101,2010-08-30,6442.076,6594.692,6597.506,6442.076,2180255666,46583697931.34,1.0,1,3483,0.029051825283025856,0.12861198373216842,6238.231949999999,5805.789900000001,0.2658381806271231,6594.692,0.0
sz.399101,2010-08-31,6576.383,6665.389,6692.591,6559.627,2564362021,56642298194.94,1.0,1,3482,0.010720288377379816,0.140711029663944,6274.79595,5822.9817,0.2548708092019278,6665.389,0.0
sz.399101,2010-09-01,6667.787,6580.132,6700.833,6490.779,2785267465,60272324305.24,1.0,1,3481,-0.012791001395417556,0.1261201932917444,6304.586850000001,5837.497850000001,0.2631249843301565,6665.389,-0.01279100139541751
sz.399101,2010-09-02,6618.203,6698.247,6714.187,6587.989,2548295071,53151104909.5,1.0,1,3480,0.017950247806579167,0.146334329821324,6338.13175,5853.385066666667,0.26711533595675824,6698.247,0.0
sz.399101,2010-09-03,6713.988,6732.861,6755.446,6649.012,2639799741,58277701707.18,1.0,1,3479,0.0051676207222575155,0.15225815085874395,6367.2113,5868.620966666667,0.26106837723422405,6732.861,0.0
sz.399101,2010-09-06,6754.132,6678.839,6774.351,6636.003,2464743893,52954615906.08,1.0,1,3478,-0.008023632152809879,0.14301285531117647,6388.936,5880.869866666666,0.2616838642195687,6732.861,-0.008023632152809919
sz.399101,2010-09-07,6670.554,6716.453,6717.597,6626.757,1936979761,39239937061.42,1.0,1,3477,0.005631817146662943,0.14945009470857418,6423.1438,5893.053783333334,0.22111248481053142,6732.861,-0.002437002635283789
sz.399101,2010-09-08,6694.306,6788.859,6788.944,6673.428,2179195591,48151457838.8,1.0,1,3476,0.01078039256732688,0.16184161796608376,6457.5292,5907.118566666667,0.22089814088980048,6788.859,0.0
sz.399101,2010-09-09,6800.203,6697.622,6823.288,6686.306,2525747882,53643203558.91,1.0,1,3475,-0.013439224470562783,0.1462273676629957,6489.72525,5921.757483333334,0.2262432754097326,6788.859,-0.013439224470562738
sz.399101,2010-09-10,6698.641,6773.865,6779.454,6621.257,2259295024,49219177298.74,1.0,1,3474,0.011383592564644607,0.1592755530029164,6519.83335,5941.979850000001,0.22120652343842861,6788.859,-0.0022086185616759157
sz.399101,2010-09-13,6778.252,6897.7,6900.947,6762.147,2269434316,48571190145.51,1.0,1,3473,0.018281291404537825,0.1804686072055195,6548.7857,5961.883366666667,0.2156924107619039,6897.7,0.0
sz.399101,2010-09-14,6910.136,6929.098,6962.835,6887.099,2391698462,49644880779.15,1.0,1,3472,0.004551952099975276,0.18584204376104352,6575.710149999999,5981.493350000001,0.21414870014937495,6929.098,0.0
sz.399101,2010-09-15,6926.362,6789.686,6926.733,6767.526,2296455565,50272299016.9,1.0,1,3471,-0.02011979048355217,0.1619831502939839,6595.1849,5998.661016666667,0.23078761220073463,6929.098,-0.020119790483552155
sz.399101,2010-09-16,6775.813,6616.615,6798.114,6541.977,2186884386,44640214762.89,1.0,1,3470,-0.02549028040471979,0.13236387396743066,6605.253599999999,6012.8902,0.2520958558576959,6929.098,-0.04509721178716193
sz.399101,2010-09-17,6618.761,6616.994,6668.092,6568.954,1582033618,31506173512.83,1.0,1,3469,5.72800442522059e-05,0.13242873582024117,6623.2943,6028.893216666666,0.2321433421089686,6929.098,-0.04504251491319653
sz.399101,2010-09-20,6621.884,6556.922,6637.865,6511.31,1408587144,29160848778.18,1.0,1,3468,-0.00907844256772794,0.1221480465800524,6636.253350000001,6045.205683333334,0.23547328492265937,6929.098,-0.053712041596178955
sz.399101,2010-09-21,6566.652,6544.555,6592.496,6509.279,1225079727,26505402578.69,1.0,1,3467,-0.0018860983857973412,0.12003156496077216,6644.181300000001,6066.173400000001,0.23155555823960092,6929.098,-0.05549683378702389
sz.399101,2010-09-27,6571.701,6711.819,6713.326,6571.701,1290033943,27378317845.53,1.0,1,3466,0.02555773463589195,0.1486570344818623,6666.334699999999,6090.83865,0.23448752912489917,6929.098,-0.03135747250219286
sz.399101,2010-09-28,6701.344,6680.362,6733.162,6665.505,1442051752,30631864171.41,1.0,1,3465,-0.004686806959484535,0.1432735006985919,6683.96115,6116.195583333333,0.2351269730426825,6929.098,-0.035897313041322244
sz.399101,2010-09-29,6676.042,6602.534,6698.767,6580.893,1464799899,32641229976.08,1.0,1,3464,-0.011650266856796154,0.1299540593251498,6693.662200000001,6141.3768666666665,0.23739880569502622,6929.098,-0.047129366621745036
sz.399101,2010-09-30,6571.406,6700.27,6700.59,6550.205,1169452367,25668526349.61,1.0,1,3463,0.014802801469860016,0.1466805449354025,6698.941100000001,6168.490866666666,0.22031739713041462,6929.098,-0.03302421180938695
