,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
44,563010,电信ETF,0.962,0.9625,0.05,0.02,2.12,17557.0,1685641.0,0.951,0.965,0.942,0.942,2.44,6.01,0.99,9.94,5780.0,11777.0,-79068.0,-4.69,0.0,0.0,-79068.0,-4.69,108354.0,6.43,-29286.0,-1.74,-1829.0,0.962,0.963,29189300.0,28080107,28080107,2024-06-28,2024-06-28 16:11:49+08:00
45,561360,石油ETF,1.06,1.0599,-0.01,0.022,2.12,173699.0,18293886.0,1.04,1.064,1.04,1.038,2.31,22.23,1.29,0.78,115657.0,58042.0,854763.0,4.67,954410.0,5.22,-99647.0,-0.54,-359907.0,-1.97,-494856.0,-2.71,94.0,1.059,1.06,78148000.0,82836880,82836880,2024-06-28,2024-06-28 16:11:58+08:00
46,159512,汽车ETF,1.12,1.1219,0.17,0.023,2.1,129953.0,14562597.3,1.097,1.132,1.093,1.097,3.56,20.54,1.1,-18.05,64061.0,65892.0,1084341.0,7.45,0.0,0.0,1084341.0,7.45,-299274.0,-2.06,-785068.0,-5.39,-430.0,1.12,1.121,63264855.0,70856638,70856638,2024-06-28,2024-06-28 15:34:36+08:00
47,159669,绿电ETF,1.073,1.0736,0.06,0.022,2.09,96602.0,10228630.0,1.058,1.076,1.046,1.051,2.85,17.02,0.97,-32.43,51021.0,45581.0,110224.0,1.08,0.0,0.0,110224.0,1.08,19073.0,0.19,-129298.0,-1.26,92.0,1.07,1.075,56754781.0,60897880,60897880,2024-06-28,2024-06-28 15:34:51+08:00
48,513630,港股红利指数ETF,1.171,1.1637,-0.63,0.024,2.09,746329.0,87097102.0,1.147,1.175,1.147,1.147,2.44,3.91,1.25,3.53,410764.0,335565.0,704635.0,0.81,1786033.0,2.05,-1081398.0,-1.24,2288211.0,2.63,-2992846.0,-3.44,25.0,1.17,1.172,1908359008.0,2234688398,2234688398,2024-06-28,2024-06-28 16:11:43+08:00
49,516530,物流快递ETF,0.837,0.8351,-0.23,0.017,2.07,22188.0,1847191.0,0.828,0.84,0.828,0.82,1.46,2.62,1.06,-97.88,17768.0,4420.0,-246038.0,-13.32,-251.0,-0.01,-245787.0,-13.31,255007.0,13.81,-8969.0,-0.49,500.0,0.83,0.841,84802300.0,70979525,70979525,2024-06-28,2024-06-28 16:11:32+08:00
50,513810,港股国企ETF,1.233,1.2237,-0.76,0.025,2.07,25571.0,3146268.0,1.21,1.239,1.21,1.208,2.4,7.99,1.42,-8.77,14076.0,11495.0,-41289.0,-1.31,757185.0,24.07,-798474.0,-25.38,66877.0,2.13,-25588.0,-0.81,18.0,1.231,1.232,31992000.0,39446136,39446136,2024-06-28,2024-06-28 16:11:39+08:00
51,560300,电信50ETF,1.037,1.039,0.19,0.021,2.07,47151.0,4867111.0,1.023,1.042,1.023,1.016,1.87,19.01,1.94,10.72,25339.0,21812.0,-18938.0,-0.39,0.0,0.0,-18938.0,-0.39,41151.0,0.85,-22214.0,-0.46,-19.0,1.037,1.039,24803400.0,25721126,25721126,2024-06-28,2024-06-28 16:11:46+08:00
52,159786,VRETF,0.695,0.6916,-0.49,0.014,2.06,106514.0,7392094.1,0.681,0.7,0.678,0.681,3.23,5.36,1.26,65.72,58239.0,48275.0,49992.0,0.68,13366.0,0.18,36626.0,0.5,291341.0,3.94,-341334.0,-4.62,8.0,0.692,0.695,198701174.0,138097316,138097316,2024-06-28,2024-06-28 15:34:33+08:00
53,561700,电力ETF基金,1.095,1.0959,0.08,0.022,2.05,80525.0,8743956.0,1.062,1.1,1.058,1.073,3.91,5.84,1.31,17.92,44837.0,35688.0,1507584.0,17.24,967922.0,11.07,539662.0,6.17,-1059718.0,-12.12,-447867.0,-5.12,-637.0,1.095,1.097,137813600.0,150905892,150905892,2024-06-28,2024-06-28 16:11:33+08:00
54,159945,能源ETF基金,1.201,1.2017,0.06,0.024,2.04,40569.0,4834325.0,1.177,1.204,1.175,1.177,2.46,13.06,1.19,-71.43,24187.0,16382.0,356953.0,7.38,0.0,0.0,356953.0,7.38,-22200.0,-0.46,-334753.0,-6.92,38.0,1.198,1.201,31072327.0,37317865,37317865,2024-06-28,2024-06-28 15:34:48+08:00
55,513910,港股央企红利ETF,1.162,1.1533,-0.75,0.023,2.02,127574.0,14801571.0,1.139,1.17,1.136,1.139,2.99,5.98,1.11,13.61,78788.0,48786.0,822638.0,5.56,1606504.0,10.85,-783866.0,-5.3,-217794.0,-1.47,-604844.0,-4.09,200.0,1.161,1.162,213276000.0,247826712,247826712,2024-06-28,2024-06-28 16:11:59+08:00
